Text,Label,AdvText,doc_ID
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,"The other day, while attempting to reach the store before its closing time, I became disoriented and ultimately missed my destination entirely.",1
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,"Sarah initially seemed unsure about attending a party, but ultimately decided otherwise moments beforehand.",1
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,I remember our trip going awry at some point,1
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,"Yesterday, despite starting my homework, I became engrossed in a video and did not complete the assignment.",1
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,"We were driving when suddenly a massive storm emerged from nowhere, forcing us to pull over due to the complete lack of visibility.",1
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,I encountered an old high school acquaintance while shopping at the mall,1
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,Last week my plan to hike got disrupted due to terrible weather,1
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,"When I visited a restaurant with friends, I ordered a pasta dish that was expected to impress. ",1
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,"I agree with your point, although I'm feeling a bit uneasy about this issue.",1
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,I mistakenly believed that our scheduled meeting would get called off,1
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,"I attempted to reach the store before closing time on another day, but due to getting disoriented, I missed it entirely.",1
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,Sarah initially doubted going to the party but decided against it just before departing for the venue.,1
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,"I remember the unfortunate series of events during our last trip where almost nothing went right, leading to what can only be described as a complete disaster.",1
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,"Yesterday, despite starting to complete my homework, a video captured my attention and prevented me from finishing the assignment.",1
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,"We were driving when suddenly a massive storm appeared making visibility almost zero, so we pulled over for safety.",1
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,"I encountered an old high school acquaintance while shopping at the mall, which made me uncomfortable and led to avoiding conversation with them.",1
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,"Last week, despite intending to hike due to good weather forecasts, I stayed at home because of a sudden change in the weather conditions which were unfavorable for outdoor activities. ",1
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,"When at the restaurant, I ordered a pasta dish that turned out to be somewhat underwhthating.",1
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,"So, after considering your point of view on our current predicament, despite feeling some reservations, I believe we are correct.",1
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0," Because of my assumption that the meeting would get cancelled, I did not prepare in any way which resulted poorly towards its outcome",1
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1," On another occasion, trying to get to a store before it closed proved futile when I lost my way and ended up not going at all",1
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,Sarah initially expressed uncertainty about attending the party but ultimately decided to go after all.,1
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,I remember the time we took that unfortunate trip,1
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,"Yesterday, despite attempting to complete my homework, a video caught my attention and prevented me from finishing the assignment.",1
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,"We were driving when suddenly a massive storm emerged from nowhere, making visibility nearly zero",1
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,"I encountered a high school acquaintance while shopping at the mall, leading me to politely decline further interaction with them.",1
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,"Last week I intended to hike, but due to poor weather conditions, we decided not to go outside and stayed in. ",1
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,"When we were at the restaurant, I ordered a pasta dish that did not meet my expectations.",1
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,"I agree with your point, though I'm somewhat uneasy about our entire predicament.",1
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,"I mistakenly believed that the meeting would get called off, hence I did not make any preparations",1
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,"I tried to reach the store on another occasion when it was about to close, but somehow, due to getting disoriented, I missed my goal entirely.",1
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,"I discussed going to a party with Sarah, who initially seemed unsure about attending but ultimately decided to join us after all.",1
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,I recall feeling frustrated because the last family outing turned into chaos for various reasons.,1
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,"Yesterday, despite attempting to complete my homework, a video captured my attention and prevented me from finishing the assignment.",1
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,"We were driving when suddenly a massive storm appeared, making visibility so poor that pulling over became our only option for safety.",1
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,I went to the mall and bumped into an old classmate from high school,1
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,"Last week, despite my intention to hike due to favorable conditions previously anticipated, I ultimately decided against outdoor activities because of severe weather",1
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,"At the restaurant, my colleague and I decided on a pasta dish that turned out to be underwhdepiring.",1
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,I agree with your point,1
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,I mistakenly believed that our meeting would get called off,1
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,"The other day, while attempting to reach a shop prior to its closing hours, I became disoriented and failed to arrive in time.",2
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,"Input Sentence: Uh, you know, I was talking to Sarah, and she was like, I'm not sure about going to the party, but then suddenly decided otherwise just before it started. ",2
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,"I recall the incident during our trip where every aspect turned problematic, resulting in what can only be described as a catastropinous experience.",2
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,"Yesterday, despite attempting to complete my homework, a video captured my attention and prevented me from finishing the assignment.",2
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,"We were driving when suddenly a massive storm appeared from nowhere, making visibility so poor that pulling over became unavoidable.",2
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,"I met a former high school acquaintance at the mall, yet due to my lack of desire for conversation, I chose not to engage with him.",2
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,"Last week, due to poor weather conditions, I initially planned a hike that got cancelled, leading us to spend time at home",2
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,"At the restaurant, I ordered a pasta dish that was only somewhat satisfying.",2
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,I agree with your point of view although I'm feeling a bit uneasy about the entire scenario.,2
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,I anticipated that our scheduled meeting might get cancelled,2
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,"The original sentence conveyed an experience of getting lost on a trip to the store right before its closing time, resulting in not making it at all. ",2
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0, 'I spoke with Sarah about attending a party,2
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,"Input Sentence: 'So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, uh, it was just, like, such a disaster.'Output Sentence: 'I remember the time our trip started going terribly wrong from start to finish. ",2
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,"Yesterday I attempted to complete my homework but was sidetracked by a video, resulting in the task remaining unfinished.",2
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1, Driving one day abruptly encountered a massive unforeseen storm that made visibility so poor we were compelled to stop immediately,2
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,"I encountered an old school acquaintance while shopping at the mall, which made me uncomfortable and led to a brief avoidance of conversation.",2
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,"Last week, despite initial plans for a hike which were thwarted by inclement weather leading to an alternative indoor activity that went well.",2
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,"I mentioned that despite expecting an exceptional Italian cuisine experience when we were at the restaurant, my order of a pasta dish fell short of those expectations.",2
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,"I agree with your point, however, there's a lingering uneasiness in me regarding this matter.",2
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,"I mistakenly believed that the meeting would get canceled, hence I did not come prepared",2
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,"I attempted to go to the store before closing one day, but due to getting disoriented, I missed my visit entirely.",2
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0, I discussed with Sarah about going to a party,2
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,"Input Sentence: So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster. ",2
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,"Yesterday, despite attempting to complete my homework, I was sidetracked by a video and failed to finish it.",2
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,"We were driving when suddenly a massive storm emerged from seemingly nowhere, making visibility so poor that pulling over became unavoidable for safety reasons.",2
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,"I met a former high school acquaintance while shopping at the mall and felt no desire to converse, choosing instead to avoid interaction.",2
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,"Last week my plan to hike got disrupted by severe weather, leading us to opt for a cozy indoor day at home",2
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,"At the restaurant, I ordered a pasta dish that turned out to be somewhat underwhinning.",2
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,"I agree with your point, yet there's a lingering uneasiness in my mind regarding this matter.",2
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,I mistakenly believed that our team's scheduled meeting would get called off,2
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,"Input Sentence: So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether. ",2
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,"Sarah initially expressed uncertainty about attending a party with me, yet ultimately decided against it shortly beforehand.",2
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,"I remember the trip where every little thing seemed to go awry, turning into what felt like an utter calamity for us.",2
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,"Yesterday, despite attempting to complete my homework, I became absorbed in a video and did not finish the assignment.",2
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,"We were driving when suddenly a massive storm appeared, making visibility so poor that pulling over became unavoidable.",2
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,"I encountered an old high school acquaintance while shopping at the mall, yet did not engage in conversation due to my lack of desire to converse.",2
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,I planned to hike last week,2
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,"At the restaurant, my friends and I had a pasta dish that did not meet our expectations for being amazing.",2
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,"I agree with your point, yet I'm experiendeing some confusion regarding the entire matter.",2
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,"Input Sentence: Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well. ",2
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,"Yesterday, while attempting to reach the store prior to its closing time, I became disoriented and consequently failed to make it in time.",2
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,"Input Sentence: Uh, you know, I was talking to Sarah, and she was like, 'Oh, I don’t even know if I want to go to the party,' but then, like, she totally changed her mind at the last second. ",2
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,I thought back to the vacation where every detail seemed problematic leading to an overall unfavorable experience.,2
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,"Yesterday, despite intending to complete my homework, I became engrossed in a video and did not finish my assignment.",2
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,"We were driving when suddenly a massive storm emerged from seemingly nowhere, making visibility so poor that pulling over became our only option for safety.",2
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,I went to the mall and bumped into an old high school acquaintance,2
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,Last week's plan for hiking got cancelled due to severe weather,2
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,I found a recommended pasta dish from our restaurant visit unsatisfactory.,2
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,I agree with your point,2
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,I mistakenly believed that our scheduled meeting would get called off,2
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1," Yesterday, despite my efforts to reach the store prior to closing time, I became disoriented and ultimately missed it entirely",3
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,Sarah initially doubted going to the party but ultimately decided otherwise in a sudden change of heart just before leaving.,3
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,I recall reflecting back to the occasion of our unfortunate trip where unexpected issues plagued us throughout.,3
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,"Yesterday, despite starting my homework, I became distracted by a video and did not complete the assignment.",3
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1," As we were driving, an unexpected massive storm suddenly appeared, making visibility so poor that pulling over became necessary",3
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,I went to the mall and bumped into an old high school acquaintance,3
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,"Last week, my plan to hike was thwarted by severe weather conditions, resulting in us choosing to remain at home",3
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,"Input Sentence: Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know? ",3
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,"I acknowledge your point, although I'm somewhat uneasy about our current predicament.",3
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,"I believed that our scheduled meeting might get cancelled, hence I did not come prepared which resulted in a less successful outcome.",3
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,I tried to go to the store on one occasion without success because I became disoriented and missed its closing time.,3
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,"Sarah initially hesitated about attending a party, but ultimately decided against it just before leaving.",3
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,I recalled the unfortunate turn of events during our ill-fated trip from years ago.,3
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,"Yesterday, despite attempting to complete my homework, I became sidetracked by a video and was unable to finish the assignment.",3
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,"Input Sentence: So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.Output Sentence: We encountered a sudden massive storm while driving which made us unable to see ahead, so we pulled over for safety.",3
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,"I encountered an old high school acquaintance while shopping at the mall, and because I did not wish to engage in conversation, I decided to avoid them.",3
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,"Original Sentence: You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine. ",3
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,I found a recommended pasta dish from my waiter at the restaurant unsatisfying despite its praised reputation.,3
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,"I agree with your point, though I'm somewhat unsettled by our current predicament.",3
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,"The original sentence had filler words such as Uh, kind of, , you know, and repeated pauses indicated by multiple commas which can make the meaning less clear. ",3
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,"Yesterday, despite my attempts to reach the shop prior to its closing time, I became disoriented and ultimately missed it entirely.",3
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,Sarah initially doubted attending the party but decided to change her mind just before leaving.,3
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,"Input Sentence: So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.Output Sentence: Yes, during our ill-fated trip, every mishap occurred, culminating in what can only be described as a complete disaster.",3
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,"Yesterday, despite starting my homework, I was sidetracked by a video and did not finish my assignment.",3
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,"We were driving when suddenly a massive storm emerged from seemingly nowhere, making visibility so poor that pulling over became unavoidable.",3
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,"I encountered an old high school acquaintance while shopping at the mall, which made me uncomfortable and led to avoiding conversation with them.",3
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,"Last week, despite my intentions to hike due to mild spring weather, our plans were disrupted by severe conditions which led us to decide on remaining indocluinedly at home where everything turned out satisfactory.",3
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,"When we ate out, I chose a pasta dish that seemed impressive but ultimately fell short of expectations.",3
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,I agree with your point,3
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0," Because I believed that the scheduled meeting might get cancelled, I did not make any preparations which resulted in a disappointing outcome",3
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1," 'output_sentence' Rewrite this sentence: So, like, the other day, I was, um, trying to get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up missing it altogether",3
